iid;title;year;Children's;Comedy;Animation;Adventure;Fantasy;Romance;Drama;Action;Thriller;Crime;Horror;Sci-Fi;Documentary;War;Musical;Mystery;Film-Noir;Western;directors;actors;writers
0;Toy Story;1995;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Tom Hanks;
1;Jumanji;1995;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;Robin Williams;
2;Grumpier Old Men;1995;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;Walter Matthau,Jack Lemmon;
3;Waiting to Exhale;1995;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;Ronald Bass
4;Father of the Bride Part II;1995;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Steve Martin,Diane Keaton;
5;Heat;1995;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;;Al Pacino,Robert De Niro,Val Kilmer,Jon Voight;
6;Sabrina;1995;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;William Holden;
7;Tom and Huck;1995;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
8;Sudden Death;1995;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
9;GoldenEye;1995;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;;;
10;American President;1995;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;Michael Douglas,Michael J. Fox;
11;Dracula: Dead and Loving It;1995;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;;;
12;Balto;1995;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Kevin Bacon,Bridget Fonda;
13;Nixon;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;Anthony Hopkins,Ed Harris;Oliver Stone
14;Cutthroat Island;1995;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;;;
